"gene","rank","log2FoldChange","padj"
"Vfaba.Hedin2.R1.5g103320",78,5.72810514822126,0.00718158981257907
"Vfaba.Hedin2.R1.5g188280",79,5.71810897219479,8.22211687429098e-05
"Vfaba.Hedin2.R1.4g205880",80,5.71364299898535,0.00942487120136795
"Vfaba.Hedin2.R1.1g118840",81,5.71272186454243,5.01387052110307e-32
"Vfaba.Hedin2.R1.6g085320",82,5.69580483926532,0.00773465836488461
"Vfaba.Hedin2.R1.1g038360",83,5.65039896670246,0.010649633077616
"Vfaba.Hedin2.R1.5g048640",84,5.62531174467325,0.0111976216096837
"Vfaba.Hedin2.R1.3g107720",85,5.61459737309317,3.6454775743298e-06
"Vfaba.Hedin2.R1.3g230600",86,5.59997167220036,0.0113376683964732
"Vfaba.Hedin2.R1.1g282720",87,5.5955111149488,0.0020935025680436
"Vfaba.Hedin2.R1.1g234200",88,5.56971976897117,0.0141820547343249
"Vfaba.Hedin2.R1.3g070240",89,5.55061706496111,0.0163570556950326
"Vfaba.Hedin2.R1.4g182320",90,5.53815264781181,0.0175246927295973
"Vfaba.Hedin2.R1.5g134760",91,5.53801129372716,9.68887941138973e-10
"Vfaba.Hedin2.R1.2g122560",92,5.51832484291004,5.19326274624523e-46
"Vfaba.Hedin2.R1.1g156080",93,5.48532744463447,5.52213349458376e-05
"Vfaba.Hedin2.R1.3g136960",94,5.45516103697423,0.0213678662250505
"Vfaba.Hedin2.R1.6g019480",95,5.44719032728494,3.55501960127139e-14
"Vfaba.Hedin2.R1.3g015960",96,5.44253431663304,0.0223341596752759
"Vfaba.Hedin2.R1.1g424320",97,5.42643029038533,0.000151052098897166
"Vfaba.Hedin2.R1.2g003320",98,5.40600870467111,9.99457147761262e-18
"Vfaba.Hedin2.R1.4g076240",99,5.40103413353822,0.0233252576182758
"Vfaba.Hedin2.R1.4g212440",100,5.3837196119763,0.00431692283125314
"Vfaba.Hedin2.R1.5g126800",101,5.37123645655204,0.0277205946836662
"Vfaba.Hedin2.R1.2g063320",102,5.35972232635884,0.0245065586290734
"Vfaba.Hedin2.R1.3g041600",103,5.35302730324704,0.0165090406010748
"Vfaba.Hedin2.R1.6g177560",104,5.34921403405384,0.017938612581398
"Vfaba.Hedin2.R1.2g225960",105,5.33773658230073,0.00335105685955951
"Vfaba.Hedin2.R1.2g176160",106,5.32761132915125,0.0293907151621479
"Vfaba.Hedin2.R1.3g231920",107,5.31967208846874,0.026197456006421
"Vfaba.Hedin2.R1.6g031920",108,5.31716485178874,0.0292281070732176
"Vfaba.Hedin2.R1.3g173800",109,5.31433993153275,0.00518539826760963
"Vfaba.Hedin2.R1.1g156360",110,5.30074768894522,0.00572126281713026
"Vfaba.Hedin2.R1.5g079360",111,5.29106841233555,0.0046840329046505
"Vfaba.Hedin2.R1.5g164760",112,5.28725281348639,0.00550182869480006
"Vfaba.Hedin2.R1.5g069480",113,5.26974192627958,0.0372127226104453
"Vfaba.Hedin2.R1.1g397840",114,5.24746652981746,0.0351234020364349
"Vfaba.Hedin2.R1.2g125200",115,5.23751601987984,0.0344245101065986
"Vfaba.Hedin2.R1.5g102680",116,5.22333136029673,0.000283776502165017
"Vfaba.Hedin2.R1.4g098800",117,5.22300718398022,5.38215879751174e-87
"Vfaba.Hedin2.R1.2g024800",118,5.2146536808177,9.83896958216174e-13
"Vfaba.Hedin2.R1.5g101520",119,5.21381625665994,0.00715026805658024
"Vfaba.Hedin2.R1.4g166000",120,5.21351389063227,1.21784272349134e-38
"Vfaba.Hedin2.R1.6g167480",121,5.20571073840996,0.0359577210618193
"Vfaba.Hedin2.R1.4g006120",122,5.19861864664478,5.17191957242154e-07
"Vfaba.Hedin2.R1.1g049040",123,5.19347572284379,0.00112965032007713
"Vfaba.Hedin2.R1.6g023240",124,5.17152981086436,3.75484999968451e-22
"Vfaba.Hedin2.R1.6g059080",125,5.16841636271264,0.0119768966538472
"Vfaba.Hedin2.R1.2g203960",126,5.16807588449144,0.000754023374445804
"Vfaba.Hedin2.R1.4g111120",127,5.14329928786877,0.00206664309319488
"Vfaba.Hedin2.R1.1g336640",128,5.12221368406895,0.0423120585435349
"Vfaba.Hedin2.R1.1g304200",129,5.11759924325811,0.000873978481961504
"Vfaba.Hedin2.R1.5g016280",130,5.11655045321488,0.0489414233713872
"Vfaba.Hedin2.R1.3g141080",131,5.10132102517879,5.75913283693965e-45
"Vfaba.Hedin2.R1.6g166720",132,5.09667035701018,2.26588593962656e-32
"Vfaba.Hedin2.R1.4g243240",133,5.07447499574926,2.92055931246369e-05
"Vfaba.Hedin2.R1.4g139320",134,5.06529805309937,0.0498015468159786
"Vfaba.Hedin2.R1.6g109440",135,5.06409334473034,0.0118981831906497
"Vfaba.Hedin2.R1.1g309160",136,5.03956935224835,3.4527186475562e-05
"Vfaba.Hedin2.R1.1g434120",137,5.03909210781915,2.63023726725048e-10
"Vfaba.Hedin2.R1.4g014320",138,5.02905142933221,0.00415201408361508
"Vfaba.Hedin2.R1.5g063040",139,5.02845444252781,0.0437887732453155
"Vfaba.Hedin2.R1.5g055160",140,5.02736471644295,3.72171859939468e-33
"Vfaba.Hedin2.R1.1g228600",141,4.98088913189395,7.08776032403117e-10
"Vfaba.Hedin2.R1.1g452640",142,4.94286137738637,0.0464953785479667
"Vfaba.Hedin2.R1.2g003400",143,4.93989184858355,4.14267884223221e-06
"Vfaba.Hedin2.R1.6g095160",144,4.93673676213528,0.000476444157838865
"Vfaba.Hedin2.R1.6g046360",145,4.93478221453918,2.60745145843818e-11
"Vfaba.Hedin2.R1.1g450800",146,4.93007293453324,0.049054626204498
"Vfaba.Hedin2.R1.1g249440",147,4.89383097194142,0.000249677797225306
"Vfaba.Hedin2.R1.4g195320",148,4.86340964494572,1.02530728475942e-12
"Vfaba.Hedin2.R1.4g053840",149,4.83264554833831,3.03286972934503e-07
"Vfaba.Hedin2.R1.1g424280",150,4.82907774038696,0.0152791692247033
"Vfaba.Hedin2.R1.3g085520",151,4.81893247922577,0.00467613072781885
"Vfaba.Hedin2.R1.4g210880",152,4.80287305227644,3.35504444848531e-23
"Vfaba.Hedin2.R1.2g061760",153,4.79110081790041,8.90717747869473e-08
"Vfaba.Hedin2.R1.3g040680",154,4.7844371667543,0.00655213399433088
"Vfaba.Hedin2.R1.2g103560",155,4.78438867647251,0.000165235458332774
"Vfaba.Hedin2.R1.2g099200",156,4.78184993229044,0.00150576368542829
"Vfaba.Hedin2.R1.3g045800",157,4.77913656295051,0.0256741625600815
"Vfaba.Hedin2.R1.4g152520",158,4.76122139647032,1.32073511106784e-42
"Vfaba.Hedin2.R1.2g063360",159,4.74082021814024,6.09144000997623e-10
"Vfaba.Hedin2.R1.2g268520",160,4.73840062512644,1.92783199878998e-06
"Vfaba.Hedin2.R1.2g092560",161,4.72849832658283,7.69288494963039e-24
"Vfaba.Hedin2.R1.1g309240",162,4.72356638393432,0.00564212803120308
"Vfaba.Hedin2.R1.3g214480",163,4.71856336326608,0.0120109496478243
"Vfaba.Hedin2.R1.3g099600",164,4.71767656244544,0.00867999503385469
"Vfaba.Hedin2.R1.6g052800",165,4.71719006307042,1.69442946117108e-14
"Vfaba.Hedin2.R1.4g000880",166,4.70972530459005,0.000794626574548507
"Vfaba.Hedin2.R1.1g195120",167,4.70075748507783,0.00204560204113051
"Vfaba.Hedin2.R1.2g106080",168,4.69352139763755,0.0152687971822401
"Vfaba.Hedin2.R1.6g147320",169,4.69350079312197,1.61479507802398e-08
"Vfaba.Hedin2.R1.3g173880",170,4.66107614755262,0.000443257884700065
"Vfaba.Hedin2.R1.5g094400",171,4.65359509220602,0.0351138580275693
"Vfaba.Hedin2.R1.4g210480",172,4.64142155047464,0.00171179556268183
"Vfaba.Hedin2.R1.1g109800",173,4.61108919118877,6.39617537438853e-09
"Vfaba.Hedin2.R1.5g075960",174,4.61021340159764,0.0387639432374773
"Vfaba.Hedin2.R1.2g070000",175,4.57627419891138,0.0221251419417215
"Vfaba.Hedin2.R1.1g377720",176,4.57541393660247,5.93978486922619e-52
"Vfaba.Hedin2.R1.5g177800",177,4.5712819997771,0.00335105685955951
"Vfaba.Hedin2.R1.1g251440",178,4.56996086367695,3.19472153227636e-33
"Vfaba.Hedin2.R1.1g257000",179,4.56364327402609,4.07776467701786e-18
"Vfaba.Hedin2.R1.2g218960",180,4.55696043249896,0.000168887053644028
