"gene","rank","log2FoldChange","padj"
"Vfaba.Hedin2.R1.2g103880",79,4.88226306256349,0.0327018455139264
"Vfaba.Hedin2.R1.4g093960",80,4.88181064574041,0.00474919364673504
"Vfaba.Hedin2.R1.2g141320",81,4.84499616896176,0.00274328409449871
"Vfaba.Hedin2.R1.2g032160",82,4.8012982607975,0.00637612400511291
"Vfaba.Hedin2.R1.1g434560",83,4.7649870169672,0.0375946002363214
"Vfaba.Hedin2.R1.5g015200",84,4.73225404614185,4.61434090854123e-16
"Vfaba.Hedin2.R1.3g029320",85,4.67193421499366,0.00433538143956969
"Vfaba.Hedin2.R1.3g053160",86,4.54736982809715,0.000116125807871715
"Vfaba.Hedin2.R1.4g216160",87,4.43410089160148,0.0318985328105865
"Vfaba.Hedin2.R1.2g119720",88,4.36034881482726,0.0216492388870181
"Vfaba.Hedin2.R1.5g047400",89,4.32971316826121,0.001291220940326
"Vfaba.Hedin2.R1.1g068960",90,4.25330585068033,0.000285998404337012
"Vfaba.Hedin2.R1.4g047840",91,4.21272888915968,0.0106700493787803
"Vfaba.Hedin2.R1.5g192040",92,4.19565188153292,0.00997151363092673
"Vfaba.Hedin2.R1.2g268240",93,4.15679659142138,0.00871568978250006
"Vfaba.Hedin2.R1.3g134200",94,4.14731191248926,0.00986668570964357
"Vfaba.Hedin2.R1.1g282120",95,4.11820139675542,3.25124516598766e-14
"Vfaba.Hedin2.R1.1g469280",96,4.11154854823687,0.00170521741390689
"Vfaba.Hedin2.R1.1g046960",97,4.10438126445096,0.00163655578750028
"Vfaba.Hedin2.R1.1g285520",98,4.038927438016,0.00856829813273734
"Vfaba.Hedin2.R1.3g183080",99,4.03209251717245,1.01414010635117e-07
"Vfaba.Hedin2.R1.3g100760",100,4.03132737335221,0.0302225435526193
"Vfaba.Hedin2.R1.2g227000",101,3.99543910156737,0.00711560749624696
"Vfaba.Hedin2.R1.4g040400",102,3.94333581192454,0.00223156903190286
"Vfaba.Hedin2.R1.2g170040",103,3.93120228384106,0.0284840346424402
"Vfaba.Hedin2.R1.1g455120",104,3.87193815245686,2.69004463488883e-12
"Vfaba.Hedin2.R1.5g165160",105,3.87075811456256,1.62870427996507e-05
"Vfaba.Hedin2.R1.4g186600",106,3.82404835868344,0.00327178289658409
"Vfaba.Hedin2.R1.6g034280",107,3.74977655107335,9.56624869779735e-06
"Vfaba.Hedin2.R1.1g405360",108,3.73409701772659,0.00336352526338586
"Vfaba.Hedin2.R1.6g101560",109,3.70791979686333,6.89160619857753e-20
"Vfaba.Hedin2.R1.4g076520",110,3.70534364064246,4.48810465795355e-09
"Vfaba.Hedin2.R1.1g459280",111,3.68972843925676,0.0290427450418612
"Vfaba.Hedin2.R1.1g034560",112,3.67413017065808,0.022690083081928
"Vfaba.Hedin2.R1.5g047440",113,3.65718428449395,4.7348615056922e-07
"Vfaba.Hedin2.R1.1g345000",114,3.61469352427886,3.56904589059294e-05
"Vfaba.Hedin2.R1.1g068920",115,3.57826477420762,0.0027205808377839
"Vfaba.Hedin2.R1.2g059320",116,3.5781836257649,0.0132641634514618
"Vfaba.Hedin2.R1.1g413280",117,3.55451820284283,1.23006720806076e-09
"Vfaba.Hedin2.R1.3g201880",118,3.54491141064517,5.41049484514505e-09
"Vfaba.Hedin2.R1.1g013960",119,3.54048226343581,2.89720358914639e-05
"Vfaba.Hedin2.R1.2g252960",120,3.53675463279843,1.95254933859807e-08
"Vfaba.Hedin2.R1.1g180720",121,3.53421300118054,1.21320041591632e-13
"Vfaba.Hedin2.R1.5g084280",122,3.40290846558946,1.92669971971934e-07
"Vfaba.Hedin2.R1.4g041200",123,3.39994735126226,0.000857737622189292
"Vfaba.Hedin2.R1.2g152880",124,3.39604381470932,0.000920423000207555
"Vfaba.Hedin2.R1.1g321480",125,3.38912998968943,0.00348974038536438
"Vfaba.Hedin2.R1.1g007760",126,3.370213276121,8.71270291709796e-08
"Vfaba.Hedin2.R1.1g472280",127,3.22605554992546,0.000381101646690517
"Vfaba.Hedin2.R1.6g005080",128,3.21826014707518,1.31272115104307e-10
"Vfaba.Hedin2.R1.6g130000",129,3.19390680284615,0.0199262653714164
"Vfaba.Hedin2.R1.1g373160",130,3.18935680022161,1.02800648858599e-18
"Vfaba.Hedin2.R1.6g143400",131,3.18003598805118,0.000399800073957815
"Vfaba.Hedin2.R1.6g042000",132,3.17010665323651,0.0430368514706793
"Vfaba.Hedin2.R1.2g249240",133,3.16924431548258,5.34417009121452e-05
"Vfaba.Hedin2.R1.1g225640",134,3.14263419589618,2.15427381589886e-16
"Vfaba.Hedin2.R1.4g175880",135,3.1308663089591,0.0003858331775263
"Vfaba.Hedin2.R1.5g065160",136,3.12937780246081,0.0118636427942706
"Vfaba.Hedin2.R1.1g253480",137,3.10460352396081,4.16220312706219e-05
"Vfaba.Hedin2.R1.4g091640",138,3.09324272125242,0.000320077373847372
"Vfaba.Hedin2.R1.2g153280",139,3.04287330211624,0.00248409572835141
"Vfaba.Hedin2.R1.6g101720",140,3.03112875783108,0.000138724412975459
"Vfaba.Hedin2.R1.4g075440",141,2.98763144963734,0.000589747814909357
"Vfaba.Hedin2.R1.1g486960",142,2.98444985086983,0.0108417237709671
"Vfaba.Hedin2.R1.3g025920",143,2.97740264424759,0.00102312090588753
"Vfaba.Hedin2.R1.3g222600",144,2.97360962815975,0.0291363985080818
"Vfaba.Hedin2.R1.1g155600",145,2.96728751442839,0.0362172485044775
"Vfaba.Hedin2.R1.2g263680",146,2.95923327068151,0.000185571512643819
"Vfaba.Hedin2.R1.1g423560",147,2.9275607189284,3.77932514494767e-21
"Vfaba.Hedin2.R1.5g084360",148,2.89759695057321,2.90462532190361e-05
"Vfaba.Hedin2.R1.1g269120",149,2.89212267954775,8.9369627898028e-08
"Vfaba.Hedin2.R1.1g139080",150,2.82572936832166,3.50041194934809e-09
"Vfaba.Hedin2.R1.3g172680",151,2.81035891351889,1.15874312220163e-19
"Vfaba.Hedin2.R1.1g425800",152,2.76720666558355,0.0101200419705392
"Vfaba.Hedin2.R1.1g234080",153,2.76617828776005,0.0490266485130156
"Vfaba.Hedin2.R1.2g055760",154,2.70431637159435,8.7579305471912e-06
"Vfaba.Hedin2.R1.4g020680",155,2.65438948195883,2.51555726971402e-49
"Vfaba.Hedin2.R1.2g043480",156,2.65027501563184,1.04579525641049e-10
"Vfaba.Hedin2.R1.3g015520",157,2.64869029554793,0.0220628025435186
"Vfaba.Hedin2.R1.4g219960",158,2.63270407174437,0.000254920218288951
"Vfaba.Hedin2.R1.6g033680",159,2.61982651225779,0.00449419404835061
"Vfaba.Hedin2.R1.3g180040",160,2.6004186370957,0.0315175003901539
"Vfaba.Hedin2.R1.1g209120",161,2.59029519662329,1.29685508579045e-11
"Vfaba.Hedin2.R1.1g191600",162,2.58316580810134,0.0346472085630713
"Vfaba.Hedin2.R1.2g037440",163,2.56441153895827,0.0149778159670794
"Vfaba.Hedin2.R1.1g043600",164,2.53448063039174,0.0148822286348212
"Vfaba.Hedin2.R1.1g161600",165,2.46121250143179,9.01681006894853e-05
"Vfaba.Hedin2.R1.1g430400",166,2.42706561587839,0.00452557720919484
"Vfaba.Hedin2.R1.4g077240",167,2.413035959971,6.32956836308449e-24
"Vfaba.Hedin2.R1.4g033160",168,2.40063664699406,4.70109879818403e-08
"Vfaba.Hedin2.R1.4g166400",169,2.39996722006912,0.00241535488246664
"Vfaba.Hedin2.R1.1g169000",170,2.39696970934559,1.4066529311448e-17
"Vfaba.Hedin2.R1.1g466480",171,2.3935919572262,0.0377513425824049
"Vfaba.Hedin2.R1.2g042920",172,2.37850450411759,0.0360901483754625
"Vfaba.Hedin2.R1.3g172480",173,2.37422933889688,0.0149085669499924
"Vfaba.Hedin2.R1.2g224960",174,2.37145912963794,0.0330901335596519
"Vfaba.Hedin2.R1.2g188240",175,2.33375799875114,3.96966886334051e-15
"Vfaba.Hedin2.R1.4g048240",176,2.31787202650709,0.0106878542297818
"Vfaba.Hedin2.R1.1g476800",177,2.2959781519527,0.0264460154367433
"Vfaba.Hedin2.R1.2g233800",178,2.29382266919071,0.0213205844805363
"Vfaba.Hedin2.R1.1g113360",179,2.28771017847444,0.0117473120582789
"Vfaba.Hedin2.R1.4g013000",180,2.25642838896888,8.26647449474808e-09
"Vfaba.Hedin2.R1.1g210160",181,2.25449430611027,0.047592818144422
