"gene","rank","log2FoldChange","padj"
"Vfaba.Hedin2.R1.1g094760",1,9.98831899871848,3.31773462150527e-14
"Vfaba.Hedin2.R1.1g455120",2,9.623672585641,5.66838088301479e-13
"Vfaba.Hedin2.R1.1g331480",3,9.30068583875011,7.57350355266022e-12
"Vfaba.Hedin2.R1.2g095520",4,8.89463512011496,0
"Vfaba.Hedin2.R1.1g238480",5,8.81599926791655,4.13100576226787e-11
"Vfaba.Hedin2.R1.5g030440",6,8.55535117239615,2.71551825103914e-19
"Vfaba.Hedin2.R1.3g000640",7,8.29852265782593,9.20842856027884e-09
"Vfaba.Hedin2.R1.3g114360",8,8.2193684624894,1.63805073202279e-08
"Vfaba.Hedin2.R1.2g122960",9,8.14116189368774,3.43731887941632e-08
"Vfaba.Hedin2.R1.3g112360",10,8.13393668490464,3.74057167859246e-08
"Vfaba.Hedin2.R1.5g143760",11,7.79915624292992,3.08685436962919e-07
"Vfaba.Hedin2.R1.2g199960",12,7.77065069640736,0.00524401176829401
"Vfaba.Hedin2.R1.1g198320",13,7.68514794050693,7.44570733066242e-07
"Vfaba.Hedin2.R1.2g255560",14,7.64164077661069,8.10913070873641e-07
"Vfaba.Hedin2.R1.3g037400",15,7.55896925917392,1.78962358913747e-11
"Vfaba.Hedin2.R1.4g099280",16,7.45240108054518,1.88136760481752e-06
"Vfaba.Hedin2.R1.4g237640",17,7.2735703483767,8.14935775002783e-06
"Vfaba.Hedin2.R1.4g019720",18,7.2327514468548,6.37761236593069e-06
"Vfaba.Hedin2.R1.5g082200",19,7.19362337326548,3.64208123171917e-09
"Vfaba.Hedin2.R1.4g093960",20,7.19188199572465,8.97144877957047e-06
"Vfaba.Hedin2.R1.1g241640",21,7.17257560410897,1.43072190189771e-05
"Vfaba.Hedin2.R1.6g129560",22,7.0851741743329,1.48541674682134e-05
"Vfaba.Hedin2.R1.2g128720",23,7.06848376741824,2.87701947083867e-07
"Vfaba.Hedin2.R1.3g180040",24,7.05222086684382,2.13811858179462e-07
"Vfaba.Hedin2.R1.3g138760",25,7.05070967404945,3.50877523166165e-05
"Vfaba.Hedin2.R1.6g005080",26,7.03862964719511,3.18823921382412e-05
"Vfaba.Hedin2.R1.2g155880",27,6.95794281813956,3.32592053155674e-05
"Vfaba.Hedin2.R1.3g084000",28,6.92340533628168,5.21220204745979e-05
"Vfaba.Hedin2.R1.4g181880",29,6.86192825946178,0.000105815193566281
"Vfaba.Hedin2.R1.4g204880",30,6.84529055493212,9.10969129217629e-05
"Vfaba.Hedin2.R1.3g116480",31,6.80025788801921,0.000134032524161548
"Vfaba.Hedin2.R1.5g189320",32,6.78099843335109,0.000146055309652524
"Vfaba.Hedin2.R1.2g042920",33,6.76957501021543,4.34288673317078e-09
"Vfaba.Hedin2.R1.1g282120",34,6.70762308954911,7.45271028921691e-11
